Maturity,T (yrs),OIS_Rate(%),"P(0,T)",ZeroRate(%)
1W,0.019444444444444445,1.883,0.9996339951197312,1.8826553643567268
2W,0.03888888888888889,1.882,0.9992686463807045,1.8813116283953848
3W,0.058333333333333334,1.884,0.9989022064750835,1.8829654998750782
1M,0.09166666666666666,1.942,0.9982229966953827,1.9402735068268788
2M,0.16944444444444445,2.027,0.9965771174765394,2.0235269436763104
3M,0.25555555555555554,2.094,0.9946771510059195,2.0884170625816134
4M,0.34444444444444444,2.146,0.9926624596896348,2.13810749169182
5M,0.425,2.202,0.9907282694899832,2.191760128480826
6M,0.5111111111111111,2.251,0.9886257508887265,2.2381494680509184
7M,0.5972222222222222,2.292,0.986496506980291,2.2764548673251914
8M,0.6805555555555556,2.333,0.9843707895077641,2.314672795503607
9M,0.7722222222222223,2.37,0.9820272643502935,2.348573556550562
10M,0.85,2.399,0.9800160036613441,2.37486790402107
11M,0.9305555555555556,2.427,0.977914214920287,2.3999993838720863
1Y,1.0138888888888888,2.452,0.9757424993861005,2.4220168742658332
15M,1.2694444444444444,2.501,0.969069530229386,2.475013001192912
18M,1.5305555555555554,2.531,0.9623794688723727,2.505394049119599
21M,1.7833333333333334,2.547,0.956063493600443,2.5194926487548974
2Y,2.036111111111111,2.559,0.94983747246435,2.527582623527309
27M,2.2888888888888888,2.564,0.9436253893816556,2.5351175917548607
30M,2.5416666666666665,2.57,0.9374398806695897,2.541743625426273
33M,2.797222222222222,2.578,0.9311892578399994,2.5486976805013
3Y,3.047222222222222,2.589,0.9250341646127199,2.557234154668911
4Y,4.058333333333334,2.625,0.9001015701340171,2.593371654729085
5Y,5.072222222222222,2.666,0.8748926601707102,2.6350200835969115
6Y,6.088888888888889,2.709,0.8494788773502187,2.6791785161253134
7Y,7.102777777777778,2.759,0.8236602999841915,2.7312848218588424
8Y,8.122222222222222,2.81,0.7975536363527508,2.7850283429954086
9Y,9.133333333333333,2.861,0.7715597482518591,2.8395018165409955
10Y,10.147222222222222,2.908,0.7458173757208115,2.890195040465903
11Y,11.161111111111111,2.954,0.7202256469952208,2.9404842779490536
12Y,12.175,2.996,0.6951323937624113,2.9868826031783735
13Y,13.188888888888888,3.035,0.6705305732923112,3.030474992364769
14Y,14.208333333333334,3.068,0.6467209986643246,3.06749771661575
15Y,15.219444444444445,3.096,0.6239642332463428,3.0990765299788947
16Y,16.233333333333334,3.118,0.6022530842534872,3.1236807984539516
17Y,17.247222222222224,3.135,0.5815981440254281,3.1423932325901585
18Y,18.26388888888889,3.148,0.5618803509645137,3.1563176599532192
19Y,19.283333333333335,3.156,0.5432874111554646,3.1639591880752147
20Y,20.294444444444444,3.162,0.5256145386516516,3.1692769560547958
21Y,21.305555555555557,3.163,0.5091801935517408,3.167968600882867
22Y,22.322222222222223,3.162,0.493471733151264,3.164065356188036
23Y,23.336111111111112,3.16,0.4784627044610732,3.158953992920884
24Y,24.35,3.155,0.46443159357929226,3.149655032892156
25Y,25.369444444444444,3.151,0.45063499248290595,3.1419592108726087
30Y,30.444444444444443,3.117,0.39104089750216336,3.084119761120432
40Y,40.583333333333336,3.016,0.3060211978366664,2.917702436434628
50Y,50.730555555555554,2.89,0.2539115107998237,2.702058828903735
60Y,60.875,2.761,0.22123464674426174,2.478080313344058
