Maturity,OIS_Rates
1W,1.883
2W,1.882
3W,1.884
1M,1.942
2M,2.027
3M,2.094
4M,2.146
5M,2.202
6M,2.251
7M,2.292
8M,2.333
9M,2.37
10M,2.399
11M,2.427
1Y,2.452
15M,2.501
18M,2.531
21M,2.547
2Y,2.559
27M,2.564
30M,2.57
33M,2.578
3Y,2.589
4Y,2.625
5Y,2.666
6Y,2.709
7Y,2.759
8Y,2.81
9Y,2.861
10Y,2.908
11Y,2.954
12Y,2.996
13Y,3.035
14Y,3.068
15Y,3.096
16Y,3.118
17Y,3.135
18Y,3.148
19Y,3.156
20Y,3.162
21Y,3.163
22Y,3.162
23Y,3.16
24Y,3.155
25Y,3.151
30Y,3.117
40Y,3.016
50Y,2.89
60Y,2.761
